人民币	人民币 ￥
降落伞	降落伞 🪂
跳伞	跳伞 🪂
座位	座位 💺
直升机	直升机 🚁
直升飞机	直升飞机 🚁
高架铁路	高架铁路 🚟
空中轨道列车	空中轨道列车 🚟
空轨	空轨 🚟
高山索道	高山索道 🚠
缆车	缆车 🚠 🚡
空中缆车	空中缆车 🚡
卫星	卫星 🛰
火箭	火箭 🚀
rocket	rocket 🚀
UFO	UFO 🛸
不明飞行物	不明飞行物 🛸
飞碟	飞碟 🛸
服务铃	服务铃 🛎
行李箱	行李箱 🧳
行李	行李 🧳
沙漏	沙漏 ⌛ ⏳
手表	手表 ⌚
时间	时间 ⌚
闹钟	闹钟 ⏰
闹表	闹表 ⏰
秒表	秒表 ⏱
计时器	计时器 ⏱
定时器	定时器 ⏲
台钟	台钟 🕰
壁炉钟	壁炉钟 🕰
座钟	座钟 🕰
十二点	十二点 🕛
十二点钟	十二点钟 🕛
十二点半	十二点半 🕧
一点钟	一点钟 🕐
一点半	一点半 🕜
两点	两点 🕑
两点钟	两点钟 🕑
两点半	两点半 🕝
三点	三点 🕒
三点钟	三点钟 🕒
三点半	三点半 🕞
四点	四点 🕓
四点钟	四点钟 🕓
四点半	四点半 🕟
五点	五点 🕔
五点钟	五点钟 🕔
五点半	五点半 🕠
六点	六点 🕕
六点钟	六点钟 🕕
六点半	六点半 🕡
七点	七点 🕖
七点钟	七点钟 🕖
七点半	七点半 🕢
八点	八点 🕗
八点钟	八点钟 🕗
八点半	八点半 🕣
九点	九点 🕘
九点钟	九点钟 🕘
九点半	九点半 🕤
十点	十点 🕙
十点钟	十点钟 🕙
十点半	十点半 🕥
十一点	十一点 🕚
十一点钟	十一点钟 🕚
十一点半	十一点半 🕦
新月	新月 🌑 🌚
朔月	朔月 🌑 🌚
眉月	眉月 🌒 🌘
蛾眉月	蛾眉月 🌒 🌘
残月	残月 🌒 🌘
月食	月食 🌒 🌘
上弦月	上弦月 🌓 🌛
盈凸月	盈凸月 🌔
满月	满月 🌕 🌝
圆月	圆月 🌕 🌝
月球	月球 🌕
亏凸月	亏凸月 🌖
下弦月	下弦月 🌗 🌜
月牙	月牙 🌙
月亮	月亮 🌙
弯月	弯月 🌙
微笑的新月	微笑的新月 🌚
微笑的朔月	微笑的朔月 🌚
微笑的上弦月	微笑的上弦月 🌛
微笑的下弦月	微笑的下弦月 🌜
温度计	温度计 🌡
太阳	太阳 ☀️ 🌞
日	日 ☀️
晴天	晴天 ☀️
微笑的月亮	微笑的月亮 🌝
微笑的满月	微笑的满月 🌝
微笑的太阳	微笑的太阳 🌞
行星	行星 🪐
土星	土星 🪐
有环行星	有环行星 🪐
星球	星球 🪐
五角星	五角星 ⭐
星星	星星 ⭐ 🌟 ✨
闪耀的星星	闪耀的星星 🌟
闪亮的星星	闪亮的星星 🌟
流星	流星 🌠
许愿	许愿 🌠
星空	星空 🌌
银河	银河 🌌
银河系	银河系 🌌
云	云 ☁️
云彩	云彩 ☁️
云朵	云朵 ☁️
cloud	cloud ☁️
天气	天气 ☁️
乌云蔽日	乌云蔽日 ⛅
多云	多云 ⛅
阴天	阴天 ⛅
雷阵雨	雷阵雨 ⛈️
大雨	大雨 ⛈️
下大雨	下大雨 ⛈️
少云	少云 🌤
晴偶有云	晴偶有云 🌤
白日小云	白日小云 🌤
下雨	下雨 🌧
雨	雨 🌧
雨云	雨云 🌧
下雪	下雪 🌨 ❄️
雪云	雪云 🌨
打雷	打雷 🌩
雷云	雷云 🌩
龙卷风	龙卷风 🌪
雾	雾 🌫
霾	霾 🌫
雾霾	雾霾 🌫
风吹拂的脸	风吹拂的脸 🌬
风吹拂	风吹拂 🌬
吹拂	吹拂 🌬
吹风	吹风 🌬
吹口气	吹口气 🌬
台风	台风 🌀
旋风	旋风 🌀
飓风	飓风 🌀
漩涡	漩涡 🌀
蚊香	蚊香 🌀
气旋	气旋 🌀
彩虹	彩虹 🌈
收起的伞	收起的伞 🌂
收起的雨伞	收起的雨伞 🌂
雨伞	雨伞 🌂 ☂️ ☔
打伞	打伞 ☂️ ☔
撑伞	撑伞 ☂️ ☔
伞状	伞状 ☂️
遮阳伞	遮阳伞 ⛱️
闪电	闪电 ⚡
高压电	高压电 ⚡
雪	雪 ❄️
雪花	雪花 ❄️
雪人	雪人 ⛄
堆雪人	堆雪人 ⛄
彗星	彗星 ☄️
哈雷	哈雷 ☄️
哈雷彗星	哈雷彗星 ☄️
火	火 🔥
火焰	火焰 🔥
燃烧	燃烧 🔥
点燃	点燃 🔥
着火	着火 🔥
着火了	着火了 🔥
火了	火了 🔥
汗滴	汗滴 💧
一滴水	一滴水 💧
一滴	一滴 💧
波浪	波浪 🌊
浪花	浪花 🌊
浪	浪 🌊
大浪	大浪 🌊
万圣节	万圣节 🎃
南瓜灯	南瓜灯 🎃
南瓜头	南瓜头 🎃
圣诞树	圣诞树 🎄
烟花	烟花 🎆 🎇
焰火	焰火 🎆 🎇
礼花	礼花 🎆 🎇
鞭炮	鞭炮 🧨
炸药	炸药 🧨
爆竹	爆竹 🧨
闪亮	闪亮 ✨
闪光	闪光 ✨
闪耀	闪耀 ✨
金光闪闪	金光闪闪 ✨
金闪闪	金闪闪 ✨
气球	气球 🎈
庆典	庆典 🎈
恭喜	恭喜 🎉
祝贺	祝贺 🎉
礼宾花	礼宾花 🎉
派对礼宾花	派对礼宾花 🎉
五彩纸屑球	五彩纸屑球 🎊
彩色碎纸	彩色碎纸 🎊
碎花彩球	碎花彩球 🎊
糖果球	糖果球 🎊
七夕	七夕 🎋
七夕树	七夕树 🎋
七夕节	七夕节 🎋
门松	门松 🎍
日本娃娃	日本娃娃 🎎
日本人形	日本人形 🎎
日本人偶	日本人偶 🎎
鲤鱼旗	鲤鱼旗 🎏
风铃	风铃 🎐
中秋	中秋 🎑
中秋节	中秋节 🎑
中秋佳节	中秋佳节 🎑
观月	观月 🎑
赏月	赏月 🎑
红包	红包 🧧
发红包	发红包 🧧
蝴蝶结	蝴蝶结 🎀
礼物	礼物 🎁
礼品	礼品 🎁
礼物盒	礼物盒 🎁
礼品盒	礼品盒 🎁
包装	包装 🎁
包装盒	包装盒 🎁
丝带	丝带 🎗
黄丝带	黄丝带 🎗
入场券	入场券 🎟
门票	门票 🎫
鞠躬勋章	鞠躬勋章 🎖
军功章	军功章 🎖
勋章	勋章 🎖
奖杯	奖杯 🏆
冠军	冠军 🏆
运动会奖牌	运动会奖牌 🏅
奖牌	奖牌 🏅
金牌	金牌 🥇
银牌	银牌 🥈
铜牌	铜牌 🥉
足球	足球 ⚽
英式足球	英式足球 ⚽
棒球	棒球 ⚾
垒球	垒球 🥎
篮球	篮球 🏀
排球	排球 🏐
橄榄球	橄榄球 🏈 🏉
美式橄榄球	美式橄榄球 🏈
美式足球	美式足球 🏈
英式橄榄球	英式橄榄球 🏉
网球	网球 🎾
飞盘	飞盘 🥏
保龄球	保龄球 🎳
保龄球瓶	保龄球瓶 🎳
板球	板球 🏏
板球拍	板球拍 🏏
曲棍球	曲棍球 🏑
冰球	冰球 🏒
袋棍球	袋棍球 🥍
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
羽毛球	羽毛球 🏸
羽毛球拍	羽毛球拍 🏸
球拍	球拍 🏸
拳击手套	拳击手套 🥊
武术服	武术服 🥋
空手道服	空手道服 🥋
跆拳道服	跆拳道服 🥋
柔道服	柔道服 🥋
球门网	球门网 🥅
球网	球网 🥅
球门	球门 🥅
高尔夫球洞	高尔夫球洞 ⛳
溜冰鞋	溜冰鞋 ⛸
溜冰	溜冰 ⛸
滑冰	滑冰 ⛸
钓鱼竿	钓鱼竿 🎣
渔竿	渔竿 🎣
钓竿	钓竿 🎣
钓鱼	钓鱼 🎣
潜水面罩	潜水面罩 🤿
深潜	深潜 🤿
潜水	潜水 🤿
运动背心	运动背心 🎽
滑雪橇	滑雪橇 🎿
滑雪装备	滑雪装备 🎿
雪橇	雪橇 🛷
乘雪橇	乘雪橇 🛷
驾雪橇	驾雪橇 🛷
坐雪橇	坐雪橇 🛷
冰上溜石	冰上溜石 🥌
溜石	溜石 🥌
冰壶	冰壶 🥌
靶心	靶心 🎯
正中靶心的飞镖	正中靶心的飞镖 🎯
飞镖	飞镖 🎯
命中	命中 🎯
溜溜球	溜溜球 🪀
悠悠球	悠悠球 🪀
风筝	风筝 🪁
放风筝	放风筝 🪁
风鸢	风鸢 🪁
纸鸢	纸鸢 🪁
水枪	水枪 🔫
玩具枪	玩具枪 🔫
滋水枪	滋水枪 🔫
台球	台球 🎱
黑八	黑八 🎱
水晶球	水晶球 🔮
占卜	占卜 🔮
魔法棒	魔法棒 🪄
魔棒	魔棒 🪄
手柄	手柄 🎮
游戏手柄	游戏手柄 🎮
视频游戏手柄	视频游戏手柄 🎮
电子游戏手柄	电子游戏手柄 🎮
操控杆	操控杆 🕹
游戏操控杆	游戏操控杆 🕹
摇杆	摇杆 🕹
游戏摇杆	游戏摇杆 🕹
老虎机	老虎机 🎰
赌场	赌场 🎰
赌博	赌博 🎰 🎲
色子	色子 🎲
骰子	骰子 🎲
酒桌游戏	酒桌游戏 🎲
拼图	拼图 🧩
拼图块	拼图块 🧩
拼块	拼块 🧩
拼块儿	拼块儿 🧩
泰迪熊	泰迪熊 🧸
泰迪	泰迪 🧸
皮纳塔	皮纳塔 🪅
镜面球	镜面球 🪩
迪斯科	迪斯科 🪩
俄罗斯套娃	俄罗斯套娃 🪆
套娃	套娃 🪆
扑克	扑克 ♠️ ♥️ ♦️ ♣️ 🃏
黑桃	黑桃 ♠️
红桃	红桃 ♥️
爱	爱 ♥️
心	心 ♥️
红心	红心 ♥️
方片	方片 ♦️
方板	方板 ♦️
梅花	梅花 ♣️
草花	草花 ♣️
国际象棋兵	国际象棋兵 ♟
国际象棋	国际象棋 ♟
大小王	大小王 🃏
大王	大王 🃏
小王	小王 🃏
小丑牌	小丑牌 🃏
鬼牌	鬼牌 🃏
joker	joker 🃏
红中	红中 🀄
中	中 🀄
麻将	麻将 🀄
花扑克牌	花扑克牌 🎴
扑克牌	扑克牌 🎴
表演艺术	表演艺术 🎭
面具	面具 🎭
带画框的图片	带画框的图片 🖼
带框的画	带框的画 🖼
画框	画框 🖼
一幅画	一幅画 🖼
画画	画画 🎨
调色板	调色板 🎨
调色盘	调色盘 🎨
艺术	艺术 🎨
美术	美术 🎨
线轴	线轴 🧵
针	针 🪡
绣花针	绣花针 🪡
缝纫针	缝纫针 🪡
线团	线团 🧶
毛线	毛线 🧶
纱线	纱线 🧶
毛线球	毛线球 🧶
绳子	绳子 🪢
绳结	绳结 🪢
打结	打结 🪢
眼镜	眼镜 👓
近视	近视 👓
近视眼	近视眼 👓
护目镜	护目镜 🥽
泳镜	泳镜 🥽
游泳镜	游泳镜 🥽
实验室外衣	实验室外衣 🥼
白大褂	白大褂 🥼
白大褂儿	白大褂儿 🥼
安全背心	安全背心 🦺
救生衣	救生衣 🦺
衬衫领带	衬衫领带 👔
领带	领带 👔
衣服	衣服 👔
衬衫	衬衫 👕
恤衫	恤衫 👕
短袖	短袖 👕
上衣	上衣 👕
T恤	T恤 👕
T恤衫	T恤衫 👕
男衬衫	男衬衫 👕
男士衬衫	男士衬衫 👕
汗衫	汗衫 👕
牛仔裤	牛仔裤 👖
裤子	裤子 👖
围巾	围巾 🧣
手套	手套 🧤
外套	外套 🧥
夹克	夹克 🧥
夹克衫	夹克衫 🧥
袜子	袜子 🧦
短袜	短袜 🧦
连衣裙	连衣裙 👗
长裙	长裙 👗
裙子	裙子 👗
和服	和服 👘
浴衣	浴衣 👘
纱丽	纱丽 🥻
连体泳衣	连体泳衣 🩱
泳衣	泳衣 🩱
泳装	泳装 🩱 👙
三角裤	三角裤 🩲
内裤	内裤 🩲
底裤	底裤 🩲
四角裤	四角裤 🩳
短裤	短裤 🩳
三点式	三点式 👙
比基尼	比基尼 👙
内衣	内衣 👙
女装	女装 👚
女士衬衫	女士衬衫 👚
女衬衫	女衬衫 👚
扇子	扇子 🪭
折扇	折扇 🪭
钱包	钱包 👛
零钱包	零钱包 👛
女士钱包	女士钱包 👛
手提包	手提包 👜
挎包	挎包 👜
女包	女包 👜
包包	包包 👜
手拿包	手拿包 👝
荷包	荷包 👝
皮包	皮包 👝
购物袋	购物袋 🛍
书包	书包 🎒
双肩包	双肩包 🎒
背包	背包 🎒
背囊	背囊 🎒
凉鞋	凉鞋 🩴 👡
夹趾凉鞋	夹趾凉鞋 🩴
沙滩凉鞋	沙滩凉鞋 🩴
拖鞋	拖鞋 🩴
人字拖	人字拖 🩴
皮鞋	皮鞋 👞
男鞋	男鞋 👞
网球鞋	网球鞋 👟
跑鞋	跑鞋 👟
运动鞋	运动鞋 👟
板鞋	板鞋 👟
板儿鞋	板儿鞋 👟
休闲鞋	休闲鞋 👟
鞋子	鞋子 👟
登山鞋	登山鞋 🥾
平底鞋	平底鞋 🥿
高跟鞋	高跟鞋 👠
高跟儿	高跟儿 👠
高跟儿鞋	高跟儿鞋 👠
女鞋	女鞋 👠
女式凉鞋	女式凉鞋 👡
高跟凉鞋	高跟凉鞋 👡
高跟儿凉鞋	高跟儿凉鞋 👡
芭蕾舞鞋	芭蕾舞鞋 🩰
足尖鞋	足尖鞋 🩰
高跟靴	高跟靴 👢
高跟儿靴	高跟儿靴 👢
女靴	女靴 👢
靴子	靴子 👢
长靴	长靴 👢
叉梳	叉梳 🪮
梳子	梳子 🪮
王冠	王冠 👑
皇冠	皇冠 👑
皇族	皇族 👑
带蝴蝶结的帽子	带蝴蝶结的帽子 👒
女帽	女帽 👒
宽檐帽	宽檐帽 👒
帽子	帽子 🎩
礼帽	礼帽 🎩
高帽	高帽 🎩
四方帽	四方帽 🎓
毕业帽	毕业帽 🎓
学士帽	学士帽 🎓
棒球帽	棒球帽 🧢
鸭舌帽	鸭舌帽 🧢
军用头盔	军用头盔 🪖
头盔	头盔 🪖
军人	军人 🪖
军盔	军盔 🪖
安全帽	安全帽 ⛑️
白十字头盔	白十字头盔 ⛑️
白十字安全帽	白十字安全帽 ⛑️
十字安全帽	十字安全帽 ⛑️
十字头盔	十字头盔 ⛑️
念珠	念珠 📿
口红	口红 💄
唇膏	唇膏 💄
戒指	戒指 💍
钻戒	钻戒 💍
求婚戒	求婚戒 💍
订婚戒	订婚戒 💍
星钻	星钻 💍
宝石	宝石 💎
钻石	钻石 💎
已静音的扬声器	已静音的扬声器 🔇
扬声器关闭	扬声器关闭 🔇
静音	静音 🔇
扬声器	扬声器 🔈 🔉 🔊
中等音量	中等音量 🔉
中等音量的扬声器	中等音量的扬声器 🔉
大音量	大音量 🔊
高音量	高音量 🔊
高音量的扬声器	高音量的扬声器 🔊
公共广播	公共广播 📢
喇叭	喇叭 📢 📣
喇叭筒	喇叭筒 📣
大喇叭	大喇叭 📣
邮政喇叭	邮政喇叭 📯
铃铛	铃铛 🔔
静音铃铛	静音铃铛 🔕
响铃关闭	响铃关闭 🔕
禁止响铃	禁止响铃 🔕
乐谱	乐谱 🎼
五线谱	五线谱 🎼
音符	音符 🎵 🎶
音乐	音乐 🎵 🎶
麦克风	麦克风 🎙 🎤
录音室麦克风	录音室麦克风 🎙
录音麦克风	录音麦克风 🎙
电平滑块	电平滑块 🎚
滑块	滑块 🎚
控制旋钮	控制旋钮 🎛
旋钮	旋钮 🎛
头戴式耳机	头戴式耳机 🎧
耳机	耳机 🎧
收音机	收音机 📻
无线电	无线电 📻
电台	电台 📻
萨克斯	萨克斯 🎷
萨克斯风	萨克斯风 🎷
萨克斯管	萨克斯管 🎷
管弦乐器	管弦乐器 🎷
手风琴	手风琴 🪗
吉他	吉他 🎸
电吉他	电吉他 🎸
音乐键盘	音乐键盘 🎹
钢琴	钢琴 🎹
钢琴按键	钢琴按键 🎹
钢琴键	钢琴键 🎹
琴键	琴键 🎹
小号	小号 🎺
小提琴	小提琴 🎻
提琴	提琴 🎻
班卓琴	班卓琴 🪕
鼓	鼓 🥁
打鼓	打鼓 🥁
敲鼓	敲鼓 🥁
长鼓	长鼓 🪘
康加鼓	康加鼓 🪘
沙锤	沙锤 🪇
笛子	笛子 🪈
长笛	长笛 🪈
竖笛	竖笛 🪈
移动电话	移动电话 📱
手机	手机 📱
智能手机	智能手机 📱
来电	来电 📲
手机来电	手机来电 📲
电话	电话 ☎️
固定电话	固定电话 ☎️
固话	固话 ☎️
座机	座机 ☎️
电话听筒	电话听筒 📞
电话筒	电话筒 📞
传呼机	传呼机 📟
呼机	呼机 📟
寻呼机	寻呼机 📟
传真	传真 📠
传真机	传真机 📠
发传真	发传真 📠
电池	电池 🔋
电量	电量 🔋 🪫
电源	电源 🔋 🔌
蓄电池	蓄电池 🔋
低电量	低电量 🪫
电量低	电量低 🪫
电池不足	电池不足 🪫
电量不足	电量不足 🪫
插头	插头 🔌
电插头	电插头 🔌
电源插头	电源插头 🔌
笔记本电脑	笔记本电脑 💻
个人电脑	个人电脑 💻
手提电脑	手提电脑 💻
笔电	笔电 💻
台式电脑	台式电脑 🖥
电脑	电脑 🖥
显示器	显示器 🖥
显示屏	显示屏 🖥
计算机	计算机 🖥
打印机	打印机 🖨
印刷机	印刷机 🖨
键盘	键盘 ⌨️
电脑键盘	电脑键盘 ⌨️
电脑鼠标	电脑鼠标 🖱
鼠标	鼠标 🖱
轨迹球	轨迹球 🖲
光盘	光盘 💽
光碟	光碟 💽
迷你光盘	迷你光盘 💽
迷你光碟	迷你光碟 💽
电脑光盘	电脑光盘 💽
软盘	软盘 💾
CD	CD 💿
DVD	DVD 📀
算盘	算盘 🧮
打算盘	打算盘 🧮
摄像机	摄像机 🎥 📹
摄录机	摄录机 🎥
摄影机	摄影机 🎥
电影摄影机	电影摄影机 🎥
电影胶片	电影胶片 🎞
胶卷	胶卷 🎞
胶片	胶片 🎞
电影	电影 🎞
菲林	菲林 🎞
电影放映机	电影放映机 📽
放映机	放映机 📽
上映	上映 📽
场记	场记 🎬
场记板	场记板 🎬
打板	打板 🎬
拍电影	拍电影 🎬
action	action 🎬
电视	电视 📺
电视机	电视机 📺
TV	TV 📺
相机	相机 📷
卡片相机	卡片相机 📷
照相机	照相机 📷
开闪光灯的相机	开闪光灯的相机 📸
拍照	拍照 📸
闪光灯	闪光灯 📸
闪光灯打开	闪光灯打开 📸
录像带	录像带 📼
录影带	录影带 📼
磁带	磁带 📼
放大镜	放大镜 🔍 🔎
蜡烛	蜡烛 🕯
烛光	烛光 🕯
烛火	烛火 🕯
灯泡	灯泡 💡
电灯泡	电灯泡 💡
白炽灯	白炽灯 💡
灯	灯 💡
电灯	电灯 💡
手电	手电 🔦
手电筒	手电筒 🔦
电筒	电筒 🔦
照明	照明 🔦
居酒屋灯笼	居酒屋灯笼 🏮
居酒屋	居酒屋 🏮
灯笼	灯笼 🏮
红灯笼	红灯笼 🏮
大红灯笼	大红灯笼 🏮
大红灯笼高高挂	大红灯笼高高挂 🏮
油灯	油灯 🪔
笔记本	笔记本 📔 📓 📒
记事本	记事本 📔 📓 📒
日记本	日记本 📔 📓 📒
红色的书	红色的书 📕
红色书本	红色书本 📕
小红书	小红书 📕
第一卷	第一卷 📕
书	书 📖 📚
图书	图书 📖 📚
书本	书本 📖 📚
书籍	书籍 📖 📚
打开的书	打开的书 📖
打开的书本	打开的书本 📖
绿色的书	绿色的书 📗
绿色书本	绿色书本 📗
教科书	教科书 📗
第二卷	第二卷 📗
蓝色的书	蓝色的书 📘
蓝色书本	蓝色书本 📘
第三卷	第三卷 📘
橙色的书	橙色的书 📙
橙色书本	橙色书本 📙
橘色的书	橘色的书 📙
橘色书本	橘色书本 📙
第四卷	第四卷 📙
账簿	账簿 📒
带卷边的纸	带卷边的纸 📃
卷边的纸	卷边的纸 📃
卷轴	卷轴 📜
纸	纸 📄
文书	文书 📄
文件	文件 📄
报纸	报纸 📰
新闻	新闻 📰
卷起的报纸	卷起的报纸 🗞
报纸卷	报纸卷 🗞
书签标签	书签标签 📑
标签页	标签页 📑
页签	页签 📑
书签	书签 🔖
标签	标签 🏷
吊牌	吊牌 🏷
钱	钱 💰
金钱	金钱 💰 💲
钱袋	钱袋 💰
工资	工资 💰
奖金	奖金 💰
money	money 💰
硬币	硬币 🪙
钢镚	钢镚 🪙
钢镚儿	钢镚儿 🪙
钱币	钱币 🪙
日元钞票	日元钞票 💴
美元钞票	美元钞票 💵
钞票	钞票 💵
纸币	纸币 💵
欧元钞票	欧元钞票 💶
英镑钞票	英镑钞票 💷
长翅膀的钱	长翅膀的钱 💸
长了翅膀的钱	长了翅膀的钱 💸
翅膀钱	翅膀钱 💸
花钱	花钱 💸
钱飞了	钱飞了 💸
信用卡	信用卡 💳
借记卡	借记卡 💳
贷记卡	贷记卡 💳
银行卡	银行卡 💳
凭据	凭据 🧾
发票	发票 🧾
收据	收据 🧾
账单	账单 🧾
信件	信件 ✉️
信封	信封 ✉️
写信	写信 ✉️
电子邮件	电子邮件 📧
邮件	邮件 📧
email	email 📧
来信	来信 📨
收到来信	收到来信 📨
收到邮件	收到邮件 📨 📥
新邮件	新邮件 📨
发件	发件 📤
发件箱	发件箱 📤
发信	发信 📤
发邮件	发邮件 📤
收件	收件 📥
收件箱	收件箱 📥
收信	收信 📥
收邮件	收邮件 📥
包裹	包裹 📦
快递	快递 📦
纸箱	纸箱 📦
纸箱子	纸箱子 📦
箱子	箱子 📦
打包	打包 📦
盒子	盒子 📦
信箱	信箱 📪
邮筒	邮筒 📮
邮箱	邮箱 📮
投票	投票 🗳
投票箱	投票箱 🗳
选票	选票 🗳
铅笔	铅笔 ✏️
钢笔	钢笔 ✒️ 🖋
圆珠笔	圆珠笔 🖊
画笔	画笔 🖌
蜡笔	蜡笔 🖍
备忘录	备忘录 📝
备忘	备忘 📝
便笺	便笺 📝
公文包	公文包 💼
公事包	公事包 💼
上班	上班 💼
工作	工作 💼
文件夹	文件夹 📁 📂
卡片索引分隔卡	卡片索引分隔卡 🗂
日历	日历 📅
手撕日历	手撕日历 📆
线圈笔记本	线圈笔记本 🗒
线圈本	线圈本 🗒
线圈日历	线圈日历 🗓
卡片索引	卡片索引 📇
卡牌索引	卡牌索引 📇
上升	上升 📈
上涨	上涨 📈
暴涨	暴涨 📈
下降	下降 📉
下跌	下跌 📉
暴跌	暴跌 📉
图表	图表 📊
条形图	条形图 📊
柱形图	柱形图 📊
柱状图	柱状图 📊
写字板	写字板 📋
剪贴板	剪贴板 📋
图钉	图钉 📌
圆图钉	圆图钉 📍
大头针	大头针 📍
回形针	回形针 📎 🖇
曲别针	曲别针 📎 🖇
直尺	直尺 📏
尺子	尺子 📏
三角尺	三角尺 📐
三角板	三角板 📐
剪刀	剪刀 ✂️
剪子	剪子 ✂️
卡片盒	卡片盒 🗃
卡片存档盒	卡片存档盒 🗃
文件柜	文件柜 🗄
废纸篓	废纸篓 🗑
垃圾桶	垃圾桶 🗑
垃圾篓	垃圾篓 🗑
垃圾	垃圾 🗑
锁	锁 🔒 🔓
合上的锁	合上的锁 🔒
门锁	门锁 🔒 🔓
锁头	锁头 🔒 🔓
上锁	上锁 🔒
锁上	锁上 🔒
锁住	锁住 🔒
打开的锁	打开的锁 🔓
解锁	解锁 🔓 🔐
开锁	开锁 🔓
带墨水笔的锁	带墨水笔的锁 🔏
隐秘	隐秘 🔏
已锁上但挂着钥匙的锁	已锁上但挂着钥匙的锁 🔐
密钥	密钥 🔐
钥匙	钥匙 🔑 🗝
古老的钥匙	古老的钥匙 🗝
老钥匙	老钥匙 🗝
旧钥匙	旧钥匙 🗝
老式钥匙	老式钥匙 🗝
复古钥匙	复古钥匙 🗝
锤子	锤子 🔨
铁锤	铁锤 🔨
斧子	斧子 🪓
斧头	斧头 🪓
铁镐	铁镐 ⛏️
锄头	锄头 ⛏️
鹤嘴锄	鹤嘴锄 ⛏️
锤子与镐	锤子与镐 ⚒️
锤子和镐	锤子和镐 ⚒️
锤子和扳手	锤子和扳手 🛠
锤子与扳手	锤子与扳手 🛠
锤子扳手	锤子扳手 🛠
工具	工具 🛠
匕首	匕首 🗡
短刀	短刀 🗡
短剑	短剑 🗡
双剑	双剑 ⚔️
双剑交叉	双剑交叉 ⚔️
战斗	战斗 ⚔️
开战	开战 ⚔️
开始战斗	开始战斗 ⚔️
fight	fight ⚔️
炸弹	炸弹 💣
boom	boom 💣
回旋镖	回旋镖 🪃
飞旋镖	飞旋镖 🪃
回力棒	回力棒 🪃
回力镖	回力镖 🪃
飞去来器	飞去来器 🪃
回飞棒	回飞棒 🪃
弓箭	弓箭 🏹
弓和箭	弓和箭 🏹
盾牌	盾牌 🛡
手锯	手锯 🪚
锯子	锯子 🪚
扳手	扳手 🔧
螺丝扳手	螺丝扳手 🔧
螺丝刀	螺丝刀 🪛
螺母及螺栓	螺母及螺栓 🔩
螺母与螺栓	螺母与螺栓 🔩
螺母和螺栓	螺母和螺栓 🔩
螺母螺栓	螺母螺栓 🔩
齿轮	齿轮 ⚙️
夹钳	夹钳 🗜
天平	天平 ⚖️
白手杖	白手杖 🦯
手杖	手杖 🦯
链接	链接 🔗
link	link 🔗
链条	链条 ⛓️
铁链	铁链 ⛓️
锁链	锁链 ⛓️
链子	链子 ⛓️
铁链子	铁链子 ⛓️
钩子	钩子 🪝
挂钩	挂钩 🪝
铁钩	铁钩 🪝
弯钩	弯钩 🪝
工具箱	工具箱 🧰
磁铁	磁铁 🧲
吸铁石	吸铁石 🧲
磁力	磁力 🧲
磁石	磁石 🧲
梯子	梯子 🪜
爬梯	爬梯 🪜
爬梯子	爬梯子 🪜
搭梯子	搭梯子 🪜
翻墙	翻墙 🪜
科学上网	科学上网 🪜
魔法上网	魔法上网 🪜
蒸馏器	蒸馏器 ⚗️
试管	试管 🧪
培养皿	培养皿 🧫
DNA	DNA 🧬
脱氧核糖核酸	脱氧核糖核酸 🧬
基因	基因 🧬
显微镜	显微镜 🔬
望远镜	望远镜 🔭
卫星天线	卫星天线 📡
天线	天线 📡
接收天线	接收天线 📡
注射器	注射器 💉
打针	打针 💉
血滴	血滴 🩸
滴血	滴血 🩸
药丸	药丸 💊
胶囊	胶囊 💊
创可贴	创可贴 🩹
创口贴	创口贴 🩹
拐杖	拐杖 🩼
听诊器	听诊器 🩺
X射线	X射线 🩻
X光	X光 🩻
X光片	X光片 🩻
拍片	拍片 🩻
胸透	胸透 🩻
胸片	胸片 🩻
门	门 🚪
房门	房门 🚪
门子	门子 🚪
电梯	电梯 🛗
升降机	升降机 🛗
镜子	镜子 🪞
魔镜	魔镜 🪞
窗户	窗户 🪟
床	床 🛏
沙发和灯	沙发和灯 🛋
沙发	沙发 🛋
椅子	椅子 🪑
凳子	凳子 🪑
马桶	马桶 🚽
马桶吸	马桶吸 🪠
搋子	搋子 🪠
马桶搋	马桶搋 🪠
马桶搋子	马桶搋子 🪠
水拔子	水拔子 🪠
皮老虎	皮老虎 🪠
马桶吸盘	马桶吸盘 🪠
吸把	吸把 🪠
马桶吸把	马桶吸把 🪠
马桶疏通器	马桶疏通器 🪠
通通乐	通通乐 🪠
马桶塞	马桶塞 🪠
马桶抽子	马桶抽子 🪠
淋浴	淋浴 🚿
喷头	喷头 🚿
浴缸	浴缸 🛁
捕鼠器	捕鼠器 🪤
剃刀	剃刀 🪒
剃须刀	剃须刀 🪒
刮胡刀	刮胡刀 🪒
手动刮胡刀	手动刮胡刀 🪒
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
护肤霜	护肤霜 🧴
洗发水	洗发水 🧴
沐浴露	沐浴露 🧴
洗发露	洗发露 🧴
安全别针	安全别针 🧷
别针	别针 🧷
扣针	扣针 🧷
扫帚	扫帚 🧹
扫把	扫把 🧹
笤帚	笤帚 🧹
篮子	篮子 🧺
竹篮	竹篮 🧺
菜篮	菜篮 🧺
菜篮子	菜篮子 🧺
